Class,Frame Number,Timestamp,Confidence
Automatic Rifle,125.0,2024-01-11 23:34:44,0.84
Automatic Rifle,126.0,2024-01-11 23:34:44,0.84
Automatic Rifle,136.0,2024-01-11 23:34:45,0.85
Automatic Rifle,137.0,2024-01-11 23:34:45,0.81
Automatic Rifle,138.0,2024-01-11 23:34:45,0.86
Automatic Rifle,140.0,2024-01-11 23:34:45,0.81
Automatic Rifle,141.0,2024-01-11 23:34:45,0.82
Automatic Rifle,142.0,2024-01-11 23:34:45,0.82
Automatic Rifle,161.0,2024-01-11 23:34:46,0.81
Automatic Rifle,171.0,2024-01-11 23:34:47,0.81
Automatic Rifle,328.0,2024-01-11 23:34:56,0.85
Automatic Rifle,329.0,2024-01-11 23:34:56,0.81
Automatic Rifle,332.0,2024-01-11 23:34:57,0.83
Automatic Rifle,337.0,2024-01-11 23:34:57,0.89
Automatic Rifle,338.0,2024-01-11 23:34:57,0.87
Automatic Rifle,339.0,2024-01-11 23:34:57,0.85
Automatic Rifle,340.0,2024-01-11 23:34:57,0.81
Automatic Rifle,341.0,2024-01-11 23:34:57,0.82
Automatic Rifle,370.0,2024-01-11 23:34:59,0.82
Automatic Rifle,375.0,2024-01-11 23:34:59,0.84
Automatic Rifle,376.0,2024-01-11 23:34:59,0.88
Automatic Rifle,377.0,2024-01-11 23:34:59,0.86
Automatic Rifle,379.0,2024-01-11 23:35:00,0.81
Automatic Rifle,439.0,2024-01-11 23:35:03,0.82
Automatic Rifle,440.0,2024-01-11 23:35:03,0.82
Automatic Rifle,441.0,2024-01-11 23:35:03,0.82
Automatic Rifle,503.0,2024-01-11 23:35:07,0.87
Automatic Rifle,504.0,2024-01-11 23:35:07,0.81
Automatic Rifle,505.0,2024-01-11 23:35:07,0.84
Automatic Rifle,507.0,2024-01-11 23:35:07,0.83
Automatic Rifle,508.0,2024-01-11 23:35:08,0.84
Automatic Rifle,510.0,2024-01-11 23:35:08,0.87
Automatic Rifle,511.0,2024-01-11 23:35:08,0.89
Automatic Rifle,512.0,2024-01-11 23:35:08,0.87
Automatic Rifle,513.0,2024-01-11 23:35:08,0.84
Automatic Rifle,514.0,2024-01-11 23:35:08,0.87
Automatic Rifle,515.0,2024-01-11 23:35:08,0.89
Automatic Rifle,516.0,2024-01-11 23:35:08,0.87
Automatic Rifle,517.0,2024-01-11 23:35:08,0.88
Automatic Rifle,518.0,2024-01-11 23:35:08,0.86
Automatic Rifle,749.0,2024-01-11 23:35:22,0.85
Shotgun,752.0,2024-01-11 23:35:22,0.86
Shotgun,753.0,2024-01-11 23:35:22,0.82
