Violence Detected,Filename/Cam Name,Time and Date,Probability
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:31,0.5236217
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:34,0.8049236
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:34,0.7182025
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:34,0.5420018
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:36,0.95653605
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:36,0.7942181
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:37,0.62530935
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:37,0.85683507
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:37,0.924257
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:37,0.97156805
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:38,0.98292726
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:38,0.93519294
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:38,0.53773415
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:40,0.8790636
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:41,0.59888613
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:42,0.6395652
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:42,0.82317525
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:42,0.9872644
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:43,0.9969279
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:43,0.9324908
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:43,0.9287225
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:43,0.80702007
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:47,0.95245194
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:47,0.79006773
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:48,0.79466677
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:48,0.5176845
Yes,2024-01-14_logfile.csv,2024-01-14 09:06:52,0.5838757
Yes,2024-01-14_logfile.csv,2024-01-14 09:28:08,0.5236217
Yes,2024-01-14_logfile.csv,2024-01-14 09:28:10,0.8049236
Yes,2024-01-14_logfile.csv,2024-01-14 09:28:10,0.7182025
Yes,2024-01-14_logfile.csv,2024-01-14 09:28:10,0.5420018
Yes,2024-01-14_logfile.csv,2024-01-14 09:28:12,0.95653605
Yes,2024-01-14_logfile.csv,2024-01-14 09:28:12,0.7942181
Yes,2024-01-14_logfile.csv,2024-01-14 09:28:13,0.62530935
Yes,2024-01-14_logfile.csv,2024-01-14 09:28:13,0.85683507
Yes,2024-01-14_logfile.csv,2024-01-14 09:28:13,0.924257
