                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97171,                 1.0505,                 1.2674,                0.54177,                0.57409,                0.58915,                0.40403,                 1.1226,                 1.2185,                  1.516,             0.00074804,             0.00074804,             0.00074804
                     36,                0.91977,                 1.0136,                 1.2414,                0.58682,                0.55275,                0.59073,                0.42495,                 1.1165,                 1.2767,                 1.4797,             0.00073704,             0.00073704,             0.00073704
                     37,                0.90842,                 1.0123,                 1.2313,                0.50219,                0.56552,                0.54817,                0.35437,                 1.1613,                 1.4627,                 1.5089,             0.00072604,             0.00072604,             0.00072604
                     38,                0.91741,                 1.0034,                 1.2445,                0.59963,                0.55494,                0.54618,                 0.3831,                 1.1047,                 1.2933,                 1.4916,             0.00071504,             0.00071504,             0.00071504
                     39,                0.92808,                0.99354,                 1.2504,                  0.618,                0.53415,                0.60181,                0.42327,                 1.1139,                 1.1449,                 1.4996,             0.00070404,             0.00070404,             0.00070404
                     40,                0.90431,                0.96657,                 1.2261,                0.46919,                0.60831,                0.54216,                0.36785,                 1.1375,                 1.2333,                 1.5311,             0.00069304,             0.00069304,             0.00069304
                     41,                0.88088,                0.94832,                 1.2173,                0.52994,                0.51951,                0.56851,                0.38137,                 1.2131,                 1.2961,                 1.5538,             0.00068204,             0.00068204,             0.00068204
                     42,                0.90665,                0.94427,                  1.222,                0.49774,                0.60654,                0.57452,                0.39619,                 1.1542,                 1.1948,                  1.518,             0.00067104,             0.00067104,             0.00067104
                     43,                0.87029,                0.90319,                 1.2076,                0.44637,                0.62754,                  0.533,                0.35033,                 1.1673,                 1.2782,                 1.5216,             0.00066005,             0.00066005,             0.00066005
                     44,                0.87677,                0.91795,                 1.2154,                0.59226,                0.62331,                0.60123,                0.42732,                 1.1005,                 1.1448,                 1.4744,             0.00064905,             0.00064905,             0.00064905
                     45,                0.86562,                0.94291,                 1.1958,                0.52865,                0.58639,                0.55562,                0.37781,                  1.119,                  1.219,                 1.5085,             0.00063805,             0.00063805,             0.00063805
                     46,                0.84491,                 0.8937,                 1.1937,                 0.5851,                0.68473,                0.65282,                0.46855,                 1.0889,                 1.0267,                 1.4692,             0.00062705,             0.00062705,             0.00062705
                     47,                0.85895,                0.88391,                 1.2021,                0.51862,                0.65936,                0.55481,                0.38297,                 1.1308,                 1.1966,                 1.5565,             0.00061605,             0.00061605,             0.00061605
                     48,                0.86027,                0.89781,                 1.1892,                0.49989,                0.52737,                0.51794,                0.35122,                 1.1318,                 1.2933,                 1.5303,             0.00060505,             0.00060505,             0.00060505
                     49,                0.82893,                0.89617,                 1.1932,                0.53034,                0.58777,                0.58005,                0.40811,                 1.0886,                 1.1468,                 1.4574,             0.00059405,             0.00059405,             0.00059405
                     50,                0.83317,                0.85206,                 1.1732,                0.57582,                0.64297,                0.61143,                0.43547,                 1.1414,                   1.11,                 1.5496,             0.00058305,             0.00058305,             0.00058305
                     51,                0.81884,                0.84621,                 1.1788,                 0.5083,                0.64447,                0.57596,                 0.4073,                 1.1364,                 1.1641,                 1.4974,             0.00057205,             0.00057205,             0.00057205
                     52,                0.83326,                0.83664,                 1.1864,                0.48426,                0.61877,                0.54456,                0.39131,                 1.0847,                 1.2046,                 1.4828,             0.00056105,             0.00056105,             0.00056105
                     53,                0.81909,                0.85103,                  1.173,                0.54786,                 0.5783,                 0.5416,                0.37021,                 1.2255,                 1.2713,                  1.584,             0.00055006,             0.00055006,             0.00055006
                     54,                0.82609,                0.82394,                 1.1774,                0.59552,                0.69399,                0.65559,                0.47931,                 1.0755,                 1.0271,                 1.4448,             0.00053906,             0.00053906,             0.00053906
