                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.85314,                0.86467,                 1.2331,                0.75638,                 0.4088,                0.48579,                0.37599,                0.86702,                0.92242,                 1.2464,             0.00026654,             0.00026654,             0.00026654
                     36,                 0.8069,                   0.83,                 1.2363,                0.73719,                0.39602,                0.44857,                0.34494,                 0.8344,                 0.8906,                 1.1972,             0.00025131,             0.00025131,             0.00025131
                     37,                0.81208,                0.83611,                 1.2247,                0.74586,                0.37085,                0.46944,                0.37722,                0.85152,                0.89715,                 1.2202,             0.00023608,             0.00023608,             0.00023608
                     38,                0.81078,                0.84629,                 1.2038,                0.78149,                0.39536,                0.50036,                0.39799,                0.83876,                  0.862,                 1.2119,             0.00022086,             0.00022086,             0.00022086
                     39,                0.80736,                0.81063,                 1.1984,                0.72107,                0.41549,                 0.4832,                 0.3875,                0.81533,                0.84069,                  1.202,             0.00020563,             0.00020563,             0.00020563
                     40,                0.79674,                0.78855,                  1.207,                0.72967,                0.42321,                0.45899,                0.36693,                0.80109,                0.82009,                  1.184,              0.0001904,              0.0001904,              0.0001904
                     41,                 0.6577,                0.58275,                 1.1394,                0.73566,                0.39485,                0.47805,                0.39162,                0.78467,                0.80201,                 1.1738,             0.00017518,             0.00017518,             0.00017518
                     42,                0.62092,                0.54157,                 1.1184,                0.38272,                0.50055,                0.49251,                0.38737,                0.79516,                0.79449,                 1.1744,             0.00015995,             0.00015995,             0.00015995
                     43,                0.58465,                0.51602,                 1.0955,                0.53933,                0.51856,                0.51456,                0.41526,                0.77163,                0.81877,                 1.1588,             0.00014473,             0.00014473,             0.00014473
                     44,                0.58969,                0.51613,                 1.0995,                0.58394,                 0.5183,                0.51238,                0.42851,                0.77613,                0.78426,                  1.179,              0.0001295,              0.0001295,              0.0001295
                     45,                0.59902,                0.51672,                 1.1038,                0.49667,                0.53832,                0.52741,                0.44258,                0.76286,                0.79207,                 1.1673,             0.00011427,             0.00011427,             0.00011427
                     46,                0.55317,                0.47462,                 1.0671,                0.77179,                0.40327,                0.50362,                 0.4279,                0.73625,                0.79004,                 1.1424,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     47,                0.53757,                0.44272,                 1.0509,                 0.5455,                0.55118,                0.52968,                0.43714,                0.75211,                0.77175,                  1.155,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     48,                0.54441,                0.47342,                 1.0684,                0.63413,                0.48916,                0.51334,                0.43198,                0.74085,                0.73339,                 1.1462,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     49,                0.53901,                0.44953,                 1.0563,                0.54027,                0.53935,                0.53282,                0.44803,                 0.7249,                0.71299,                 1.1314,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     50,                0.51401,                0.43133,                 1.0429,                0.56361,                0.52919,                0.53577,                0.44383,                0.72282,                0.70672,                 1.1284,             3.8142e-05,             3.8142e-05,             3.8142e-05
